iter	Passed	Remaining
0	0	582
1	1	523
2	1	520
3	2	512
4	2	515
5	3	504
6	3	496
7	4	497
8	4	491
9	4	484
10	5	478
11	5	474
12	6	476
13	6	478
14	7	478
15	7	477
16	8	476
17	8	474
18	9	472
19	9	472
20	10	473
21	10	472
22	11	470
23	11	470
24	12	471
25	12	471
26	13	475
27	13	475
28	14	472
29	14	471
30	15	469
31	15	468
32	15	466
33	16	465
34	16	464
35	17	463
36	17	461
37	18	460
38	18	458
39	19	457
40	19	456
41	19	454
42	20	454
43	20	454
44	21	456
45	21	455
46	22	454
47	22	454
48	23	453
49	23	452
50	24	451
51	24	450
52	25	448
53	25	452
54	26	455
55	27	457
56	27	457
57	28	457
58	28	455
59	29	454
60	29	454
61	30	454
62	30	454
63	31	453
64	31	452
65	31	451
66	32	450
67	32	446
68	33	445
69	33	444
70	33	443
71	34	443
72	34	442
73	35	442
74	35	441
75	36	440
76	36	440
77	37	439
78	37	439
79	38	438
80	38	438
81	39	438
82	39	437
83	40	437
84	40	434
85	40	433
86	41	431
87	41	431
88	42	431
89	42	430
90	43	429
91	43	429
92	43	428
93	44	427
94	44	427
95	45	426
96	45	426
97	46	425
98	46	425
99	47	424
100	47	423
101	47	421
102	48	420
103	48	420
104	49	419
105	49	419
106	50	418
107	50	417
108	51	417
109	51	416
110	51	415
111	52	415
112	52	414
113	53	413
114	53	414
115	54	412
116	54	412
117	55	411
118	55	410
119	55	410
120	56	409
121	56	408
122	56	406
123	57	405
124	57	405
125	58	405
126	58	405
127	59	403
128	59	403
129	60	403
130	60	402
131	61	402
132	61	401
133	62	400
134	62	400
135	63	400
136	63	400
137	63	399
138	64	398
139	64	398
140	65	398
141	65	397
142	66	397
143	66	396
144	67	396
145	67	395
146	68	395
147	68	395
148	69	395
149	69	394
150	70	394
151	70	393
152	71	393
153	71	392
154	71	392
155	72	391
156	72	391
157	73	391
158	73	391
159	74	390
160	74	390
161	75	389
162	75	389
163	76	388
164	76	388
165	77	388
166	77	387
167	78	386
168	78	386
169	79	386
170	79	385
171	80	385
172	80	384
173	80	383
174	81	383
175	81	383
176	82	382
177	82	382
178	83	381
179	83	381
180	83	379
181	84	379
182	84	378
183	85	377
184	85	377
185	86	377
186	86	376
187	87	376
188	87	377
189	88	376
190	88	376
191	89	376
192	90	376
193	90	376
194	90	375
195	91	375
196	92	375
197	92	375
198	93	374
199	93	373
200	93	373
201	94	372
202	94	372
203	95	372
204	95	372
205	96	371
206	96	371
207	97	370
208	97	370
209	98	370
210	98	369
211	99	368
212	99	368
213	100	368
214	100	367
215	101	367
216	101	366
217	102	366
218	102	365
219	103	365
220	103	364
221	103	364
222	104	363
223	104	363
224	105	362
225	105	362
226	106	361
227	106	361
228	107	360
229	107	360
230	108	359
231	108	359
232	108	358
233	109	357
234	109	357
235	110	356
236	110	356
237	111	355
238	111	355
239	112	354
240	112	354
241	112	353
242	113	353
243	113	352
244	114	352
245	114	352
246	115	351
247	115	351
248	116	350
249	116	350
250	117	349
251	117	348
252	118	348
253	118	347
254	118	347
255	119	347
256	119	346
257	120	346
258	120	345
259	121	345
260	121	344
261	122	344
262	122	343
263	123	343
264	123	342
265	123	342
266	124	341
267	124	341
268	125	340
269	125	340
270	126	339
271	126	339
272	127	338
273	127	338
274	128	337
275	128	337
276	129	336
277	129	336
278	129	335
279	130	335
280	131	335
281	131	334
282	131	334
283	132	333
284	132	333
285	133	332
286	133	332
287	134	331
288	134	331
289	135	330
290	135	330
291	136	329
292	136	329
293	136	328
294	137	328
295	137	327
296	138	327
297	138	327
298	139	326
299	139	326
300	140	325
301	140	325
302	141	324
303	141	324
304	142	323
305	142	323
306	143	322
307	143	322
308	143	321
309	144	321
310	144	320
311	145	320
312	145	319
313	146	319
314	146	318
315	147	318
316	147	318
317	148	317
318	148	317
319	149	316
320	149	316
321	149	315
322	150	315
323	150	314
324	151	314
325	151	313
326	152	313
327	152	312
328	153	312
329	153	312
330	154	311
331	154	311
332	155	310
333	155	310
334	156	309
335	156	309
336	156	308
337	157	308
338	157	307
339	158	307
340	158	306
341	159	306
342	159	306
343	160	305
344	160	305
345	161	304
346	161	304
347	162	303
348	162	303
349	163	302
350	163	302
351	163	301
352	164	301
353	164	300
354	165	300
355	165	299
356	166	299
357	166	298
358	167	298
359	167	297
360	168	297
361	168	296
362	168	296
363	169	295
364	169	295
365	170	294
366	170	294
367	171	294
368	171	293
369	172	293
370	172	292
371	172	292
372	173	291
373	173	291
374	174	290
375	174	290
376	175	289
377	175	289
378	176	288
379	176	288
380	177	287
381	177	287
382	177	286
383	178	286
384	178	285
385	179	285
386	179	284
387	180	284
388	180	283
389	181	283
390	181	283
391	182	282
392	182	282
393	183	281
394	183	281
395	184	280
396	184	280
397	185	279
398	185	279
399	186	279
400	186	278
401	186	278
402	187	277
403	187	277
404	188	276
405	188	276
406	189	275
407	189	275
408	190	274
409	190	274
410	191	273
411	191	273
412	192	272
413	192	272
414	192	272
415	193	271
416	193	271
417	194	270
418	194	270
419	195	269
420	195	269
421	196	268
422	196	268
423	197	267
424	197	267
425	198	266
426	198	266
427	198	265
428	199	265
429	199	265
430	200	264
431	200	264
432	201	263
433	201	263
434	202	262
435	202	262
436	203	261
437	203	261
438	204	260
439	204	260
440	205	259
441	205	259
442	205	258
443	206	258
444	206	257
445	207	257
446	207	257
447	208	256
448	208	256
449	209	255
450	209	255
451	210	254
452	210	254
453	211	253
454	211	253
455	211	252
456	212	252
457	212	251
458	213	251
459	213	250
460	214	250
461	214	249
462	215	249
463	215	248
464	215	248
465	216	248
466	216	247
467	217	247
468	218	246
469	218	246
470	218	245
471	219	245
472	219	244
473	220	244
474	220	244
475	221	243
476	221	243
477	222	242
478	222	242
479	223	241
480	223	241
481	224	240
482	224	240
483	225	239
484	225	239
485	225	238
486	226	238
487	227	238
488	227	237
489	227	237
490	228	236
491	228	236
492	229	235
493	229	235
494	230	234
495	230	234
496	231	234
497	231	233
498	232	233
499	232	232
500	233	232
501	233	231
502	234	231
503	234	230
504	234	230
505	235	229
506	235	229
507	236	228
508	236	228
509	237	227
510	237	227
511	238	227
512	238	226
513	239	226
514	239	225
515	240	225
516	240	224
517	241	224
518	241	223
519	241	223
520	242	222
521	242	222
522	243	221
523	243	221
524	244	221
525	244	220
526	245	220
527	245	219
528	246	219
529	246	218
530	247	218
531	247	217
532	248	217
533	248	216
534	249	216
535	249	216
536	249	215
537	250	215
538	250	214
539	251	214
540	251	213
541	252	213
542	252	212
543	253	212
544	253	211
545	253	211
546	254	210
547	254	210
548	255	209
549	255	209
550	256	208
551	256	208
552	257	207
553	257	207
554	258	207
555	258	206
556	259	206
557	259	205
558	259	205
559	260	204
560	260	204
561	261	203
562	261	203
563	262	202
564	262	202
565	263	201
566	263	201
567	264	200
568	264	200
569	265	200
570	265	199
571	266	199
572	266	198
573	267	198
574	267	197
575	268	197
576	268	196
577	268	196
578	269	195
579	269	195
580	270	194
581	270	194
582	271	193
583	271	193
584	272	193
585	272	192
586	273	192
587	273	191
588	274	191
589	274	190
590	275	190
591	275	189
592	275	189
593	276	188
594	276	188
595	277	188
596	277	187
597	278	187
598	278	186
599	279	186
600	279	185
601	280	185
602	280	184
603	281	184
604	281	183
605	281	183
606	282	182
607	283	182
608	283	182
609	284	181
610	284	181
611	285	180
612	285	180
613	286	179
614	286	179
615	287	178
616	287	178
617	288	178
618	288	177
619	289	177
620	289	176
621	290	176
622	290	175
623	291	175
624	291	174
625	291	174
626	292	173
627	292	173
628	293	172
629	293	172
630	294	172
631	294	171
632	295	171
633	295	170
634	296	170
635	296	169
636	296	169
637	297	168
638	297	168
639	298	167
640	298	167
641	299	166
642	299	166
643	300	165
644	300	165
645	300	164
646	301	164
647	301	163
648	302	163
649	302	163
650	303	162
651	303	162
652	304	161
653	304	161
654	305	160
655	305	160
656	306	159
657	306	159
658	307	158
659	307	158
660	308	157
661	308	157
662	308	157
663	309	156
664	309	156
665	310	155
666	310	155
667	311	154
668	311	154
669	312	153
670	312	153
671	313	152
672	313	152
673	314	151
674	314	151
675	314	150
676	315	150
677	315	150
678	316	149
679	316	149
680	317	148
681	317	148
682	318	147
683	318	147
684	319	146
685	319	146
686	320	145
687	320	145
688	321	144
689	321	144
690	322	144
691	322	143
692	323	143
693	323	142
694	323	142
695	324	141
696	324	141
697	325	140
698	325	140
699	326	139
700	326	139
701	327	138
702	327	138
703	328	137
704	328	137
705	328	136
706	329	136
707	329	136
708	330	135
709	330	135
710	331	134
711	331	134
712	332	133
713	332	133
714	333	132
715	333	132
716	334	131
717	334	131
718	335	130
719	335	130
720	336	130
721	336	129
722	336	129
723	337	128
724	337	128
725	338	127
726	338	127
727	339	126
728	339	126
729	340	125
730	340	125
731	341	124
732	341	124
733	341	123
734	342	123
735	342	122
736	343	122
737	343	122
738	344	121
739	344	121
740	345	120
741	345	120
742	346	119
743	346	119
744	346	118
745	347	118
746	347	117
747	348	117
748	348	116
749	349	116
750	349	115
751	350	115
752	350	115
753	351	114
754	351	114
755	352	113
756	352	113
757	352	112
758	353	112
759	353	111
760	354	111
761	354	110
762	355	110
763	355	109
764	356	109
765	356	108
766	357	108
767	357	108
768	358	107
769	358	107
770	359	106
771	359	106
772	359	105
773	360	105
774	360	104
775	361	104
776	361	103
777	362	103
778	362	102
779	363	102
780	363	101
781	364	101
782	364	101
783	364	100
784	365	100
785	365	99
786	366	99
787	366	98
788	367	98
789	367	97
790	368	97
791	368	96
792	369	96
793	369	95
794	369	95
795	370	94
796	370	94
797	371	93
798	371	93
799	372	93
800	372	92
801	373	92
802	373	91
803	374	91
804	374	90
805	374	90
806	375	89
807	375	89
808	376	88
809	376	88
810	377	87
811	377	87
812	378	87
813	378	86
814	379	86
815	379	85
816	380	85
817	380	84
818	380	84
819	381	83
820	381	83
821	382	82
822	382	82
823	383	81
824	383	81
825	383	80
826	384	80
827	384	79
828	385	79
829	385	79
830	386	78
831	386	78
832	387	77
833	387	77
834	387	76
835	388	76
836	388	75
837	389	75
838	389	74
839	390	74
840	390	73
841	391	73
842	391	72
843	392	72
844	392	72
845	393	71
846	393	71
847	393	70
848	394	70
849	394	69
850	395	69
851	395	68
852	396	68
853	396	67
854	397	67
855	397	66
856	398	66
857	398	65
858	399	65
859	399	65
860	400	64
861	400	64
862	400	63
863	401	63
864	401	62
865	402	62
866	402	61
867	403	61
868	403	60
869	404	60
870	404	59
871	405	59
872	405	58
873	405	58
874	406	58
875	406	57
876	407	57
877	407	56
878	408	56
879	408	55
880	409	55
881	409	54
882	410	54
883	410	53
884	410	53
885	411	52
886	411	52
887	412	52
888	412	51
889	413	51
890	413	50
891	414	50
892	414	49
893	414	49
894	415	48
895	415	48
896	416	47
897	416	47
898	417	46
899	417	46
900	418	45
901	418	45
902	418	45
903	419	44
904	419	44
905	420	43
906	420	43
907	421	42
908	421	42
909	422	41
910	422	41
911	423	40
912	423	40
913	423	39
914	424	39
915	424	38
916	425	38
917	425	38
918	426	37
919	426	37
920	426	36
921	427	36
922	427	35
923	428	35
924	428	34
925	429	34
926	429	33
927	430	33
928	430	32
929	431	32
930	431	31
931	431	31
932	432	31
933	432	30
934	433	30
935	433	29
936	434	29
937	434	28
938	435	28
939	435	27
940	436	27
941	436	26
942	436	26
943	437	25
944	437	25
945	438	25
946	438	24
947	439	24
948	439	23
949	440	23
950	440	22
951	441	22
952	441	21
953	442	21
954	442	20
955	442	20
956	443	19
957	443	19
958	444	18
959	444	18
960	445	18
961	445	17
962	446	17
963	446	16
964	447	16
965	447	15
966	448	15
967	448	14
968	448	14
969	449	13
970	449	13
971	450	12
972	450	12
973	451	12
974	451	11
975	452	11
976	452	10
977	453	10
978	453	9
979	453	9
980	454	8
981	454	8
982	455	7
983	455	7
984	456	6
985	456	6
986	457	6
987	457	5
988	458	5
989	458	4
990	458	4
991	459	3
992	459	3
993	460	2
994	460	2
995	461	1
996	461	1
997	462	0
998	462	0
999	463	0
