iter	Passed	Remaining
0	2	2467
1	3	1524
2	4	1458
3	5	1248
4	5	1133
5	6	1034
6	6	986
7	7	946
8	8	912
9	8	872
10	9	841
11	9	814
12	10	793
13	11	775
14	11	756
15	12	747
16	12	736
17	13	733
18	14	733
19	14	725
20	15	716
21	16	716
22	16	715
23	17	707
24	17	699
25	18	692
26	19	687
27	19	681
28	20	677
29	20	671
30	21	667
31	21	661
32	22	656
33	23	654
34	23	649
35	24	643
36	24	640
37	25	636
38	25	634
39	26	630
40	26	628
41	27	632
42	28	629
43	28	626
44	29	623
45	29	620
46	30	618
47	31	619
48	31	617
49	32	614
50	32	612
51	33	609
52	33	606
53	34	603
54	35	602
55	35	600
56	36	600
57	36	598
58	37	596
59	37	592
60	38	590
61	38	588
62	39	586
63	39	584
64	40	584
65	41	583
66	41	581
67	42	581
68	43	581
69	43	580
70	44	578
71	44	575
72	45	573
73	45	575
74	46	576
75	47	574
76	47	573
77	48	572
78	48	571
79	49	570
80	50	568
81	50	566
82	50	562
83	51	560
84	51	559
85	52	558
86	53	566
87	54	564
88	55	564
89	55	562
90	56	561
91	56	559
92	57	560
93	58	560
94	58	561
95	59	560
96	60	563
97	61	563
98	61	562
99	62	561
100	62	560
101	63	558
102	64	558
103	64	557
104	65	557
105	66	557
106	66	556
107	67	557
108	68	558
109	69	558
110	69	558
111	70	558
112	71	557
113	71	557
114	72	555
115	72	555
116	73	554
117	74	554
118	74	554
119	75	553
120	76	552
121	76	550
122	77	550
123	77	549
124	78	548
125	79	548
126	79	545
127	79	544
128	80	543
129	81	543
130	81	542
131	82	540
132	82	539
133	83	537
134	83	536
135	84	535
136	84	533
137	85	532
138	85	530
139	86	529
140	86	529
141	87	526
142	87	525
143	88	524
144	88	523
145	89	521
146	89	521
147	90	520
148	90	518
149	91	517
150	91	516
151	92	515
152	92	513
153	93	512
154	93	511
155	94	510
156	94	509
157	95	507
158	95	506
159	96	505
160	96	503
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	496
167	100	495
168	100	494
169	101	493
170	101	493
171	102	492
172	102	491
173	103	491
174	104	490
175	104	489
176	105	488
177	105	487
178	106	486
179	106	486
180	107	485
181	107	484
182	108	483
183	108	482
184	109	482
185	109	480
186	110	480
187	111	479
188	111	478
189	112	477
190	112	476
191	113	476
192	113	475
193	114	474
194	114	474
195	115	473
196	115	472
197	116	471
198	117	471
199	117	471
200	118	471
201	119	470
202	119	470
203	120	469
204	120	468
205	121	467
206	121	466
207	122	465
208	122	465
209	123	464
210	124	464
211	124	463
212	125	463
213	125	462
214	126	461
215	127	461
216	127	460
217	128	459
218	128	458
219	129	457
220	129	457
221	130	456
222	130	455
223	131	454
224	131	453
225	132	453
226	133	453
227	133	452
228	134	451
229	134	450
230	135	449
231	135	448
232	136	447
233	136	447
234	137	446
235	137	445
236	138	444
237	138	443
238	138	442
239	139	441
240	139	440
241	140	439
242	141	439
243	141	438
244	142	437
245	142	436
246	143	435
247	143	434
248	143	433
249	144	433
250	145	433
251	145	432
252	146	432
253	146	431
254	147	430
255	148	430
256	148	429
257	149	428
258	149	427
259	150	427
260	150	426
261	151	425
262	151	424
263	152	423
264	152	422
265	152	421
266	153	421
267	153	420
268	154	419
269	154	418
270	155	417
271	155	416
272	155	415
273	156	414
274	156	413
275	157	412
276	157	412
277	158	411
278	158	410
279	159	409
280	159	409
281	161	411
282	161	410
283	162	409
284	162	408
285	163	407
286	163	406
287	164	405
288	164	405
289	165	404
290	165	403
291	166	402
292	166	402
293	167	401
294	167	400
295	167	399
296	168	398
297	168	397
298	169	397
299	169	396
300	170	395
301	170	395
302	171	394
303	172	393
304	172	393
305	172	392
306	173	391
307	173	390
308	174	390
309	175	390
310	176	391
311	177	390
312	177	389
313	178	389
314	178	388
315	179	388
316	179	387
317	180	386
318	180	385
319	181	385
320	181	384
321	182	383
322	182	382
323	183	382
324	183	381
325	184	380
326	184	380
327	185	379
328	185	378
329	186	378
330	186	377
331	187	377
332	188	376
333	188	376
334	189	376
335	190	375
336	190	374
337	191	374
338	191	373
339	192	373
340	192	372
341	193	371
342	193	371
343	194	370
344	194	369
345	195	369
346	195	368
347	196	367
348	196	367
349	197	366
350	197	365
351	198	364
352	198	364
353	199	363
354	199	362
355	200	362
356	200	361
357	201	361
358	201	360
359	202	359
360	202	358
361	204	360
362	205	360
363	206	360
364	206	359
365	207	358
366	207	358
367	208	357
368	208	356
369	209	356
370	209	355
371	210	354
372	210	354
373	211	353
374	211	352
375	212	352
376	212	351
377	213	351
378	213	350
379	214	349
380	214	349
381	215	348
382	215	347
383	216	347
384	217	346
385	217	346
386	218	345
387	218	344
388	219	344
389	219	343
390	220	342
391	220	342
392	221	341
393	221	341
394	222	340
395	222	339
396	223	339
397	223	338
398	224	338
399	225	337
400	225	337
401	226	336
402	226	335
403	227	335
404	227	334
405	228	334
406	228	333
407	229	332
408	230	332
409	230	331
410	231	331
411	231	330
412	232	330
413	233	329
414	233	329
415	234	328
416	234	328
417	235	327
418	236	327
419	236	326
420	237	325
421	237	325
422	238	324
423	238	324
424	239	323
425	240	323
426	240	323
427	241	323
428	242	322
429	243	322
430	243	321
431	244	321
432	244	320
433	245	320
434	246	320
435	247	319
436	247	319
437	248	318
438	249	318
439	249	317
440	250	317
441	250	316
442	251	316
443	251	315
444	252	314
445	253	314
446	253	314
447	254	313
448	255	313
449	255	312
450	256	311
451	256	311
452	257	310
453	257	310
454	258	309
455	259	309
456	259	308
457	260	308
458	260	307
459	261	307
460	262	306
461	262	305
462	263	305
463	263	304
464	264	304
465	264	303
466	265	302
467	265	302
468	266	301
469	266	300
470	267	300
471	267	299
472	268	298
473	268	298
474	269	297
475	269	296
476	270	296
477	270	295
478	271	295
479	271	294
480	272	293
481	272	293
482	273	292
483	274	292
484	274	291
485	275	290
486	275	290
487	276	289
488	276	289
489	277	288
490	277	288
491	278	287
492	278	286
493	279	286
494	279	285
495	280	285
496	281	284
497	281	284
498	282	283
499	283	283
500	283	282
501	284	282
502	285	281
503	285	281
504	286	280
505	287	280
506	287	279
507	288	279
508	289	279
509	290	278
510	290	278
511	291	277
512	292	277
513	292	276
514	293	276
515	293	275
516	294	274
517	294	274
518	295	273
519	295	272
520	296	272
521	296	271
522	297	270
523	297	270
524	298	269
525	298	269
